sentiment,text
positive,"I got this a year and a half ago because my car was nearing 290,000 miles and I thought I might as well get this kit while my mechanic was in replacing the front gaskets. It seems to be doing fine, no complaints so far. One strange thing did happen though...my belt jumped a few notches! I can't say why it happened...both my mechanic and I are confused. He put things right and no problems since. Lucky me, I have a non-interference engine. My mechanic did mention that the belt looked like it was in perfect shape, so it wasn't a mechanical failure, probably just a freak accident. Considering my car is just an oddity, I don't place the blame on this product and retain 5 stars for the rating."
positive,Very easy to install.  Worked perfect on my 57 Belair.  Sounds awesome.
negative,"Matt arrived rolled up in a tube like box.  It has been over a year now and it has never taken proper shape. Yes, I let it sit in the sun.  Not what I expected from weather tech for this price.  Recently saw a friends weather tech purchase, same cargo matt and it is perfect.  Very disappointed.  Please see pictures after a year installed.  This is better than day 1, but not acceptable for price."
positive,My friends are the only ones that never have to ask &#34;which trash can is for recycling?&#34;  It's labeled!!!
positive,I’ve purchase 3 of these already. One for me and the others for friends and family.
positive,"As noted in a few other reviews, there is a hole at the top of this funnel. It could create a problem as you pour liquid, but I found it easy to place my finger on the hole (on the outside of the funnel), as I held it in place during use. Problem solved. With that said, this little funnel worked great!"
positive,So far two months and no regrets...price is much cheaper then Michelin tires and about as good...time will tell. I would buy tires on Amazon again.
positive,Haven't used them yet but they look like they will be of good use.
positive,"I bought this to blow out the A-coils in my HVAC air handler.  It worked perfectly, and blew out a ton of debris that was blocking the airflow in my HVAC system.<br /><br />After using this, the airflow at my registers in each room went from detectable at 12&#34; to detectable at well over 7' away!  My entire HVAC system usage also dropped about 20%.<br /><br />Totally great tool."
positive,"Got car back from shop, can't tell the difference from the original factory cover. Time will tell."
positive,"I have a mist maker on the end of it and it is running off filtered, inside water, so I know it is safe to use for my parrots' cooling device.  It is holding up fine after a couple of years so far."
positive,"I was skeptical that this little  air compressor would be able to inflate my cars tires. The compressor is only a little larger than a soda can, and doesn't seem like it should be able to have enough power to get the job done. I was able to inflate two tires on my car to 32 PSI without any issues. When I was done, the tube was pretty hot, and the battery indicator was flashing low (after being charged to full), but the tires were definitely inflated to the desired pressure! This would be really good for inflating bike tires, balls, and other inflatables too. Also, definitely good to have in the car for emergency use on any long road trips. The light on the top to help use this in the dark is a very nice touch as well!"
positive,Excellent at protecting my floor areas. I’m often in and out with dirt and mud. They do a great job covering my floors.
negative,I thought I’m getting 10 for $6 .. but only 5pieces .. over price.. will not buy again
negative,Bought a pair I n June 2018.  Lasted about a year and both failed at same time.  Junk.<br /><br />Original  Ford struts lasted me 12 years.
positive,Installed almost a year ago. Working like a champ still. As good as factory I'd say. Perfect fit and quality seems up there with OEM.
positive,"Installed this a few days ago, only took a few minutes. I cut old wires, and soldered and heat shrinked the connections. Looks good works good. Not oem quality but will be fine for my 20 year old weekend warrior!"
positive,Good thick material and well made. A little difficult to tighten as string is elastic. Overall would recommend.
positive,Excellent product and price. I was surprised to see a metal impeller. Many aftermarket pumps use plastic.
positive,"This is a Good set of Drivers, will not fit all seals but works well."
negative,My compartment has a CD player built in so this did not fit properly.
positive,"I've purchased brake rotors from Amazon, though not these. I did purchase the same exact model for my 2011 Ford Explorer from RockAuto, 5-1/2 years ago. They are just now in need of replacement. Amazing! They stop good too. :) Love 'em."
positive,Works well and it's water proof.  I deducted 1 star because of it's size.  I wish it was bit bigger.
positive,"If you have new LED headlights that have the polarity reversed, these work great for correcting the issue. The pins are very easy to change around and you wont have to mess with your factory wiring harness."
positive,Glad o picked these up as it will save our tv antenna and other things to do with our motorhome!!!
positive,What can I say.  They are hard plastic blocks that fit the door jam of the Miata.  They are half the price as other options online.  That being sad ...they are grossly over priced.  Even at half the price of other options.  ITS CRAZY THEY CHARGE SO MUCH FOR SMALL PLASTIC BLOCKS!  WHAT AM I SUPPOSED TO DO ? CAVE MY OWN OUT OF WOOD!  MAYBE BUY 5K 3D PRINTER TO POOP SOME OUT?<br /><br />pros;<br />1000+ horse power<br />My door doesn't rattle over bumps anymore<br />easy to install<br /><br />Cons;<br />Grossly over priced<br />I doubt they truly stiffen the ride like others have said (seller does not make this claim)
positive,This is amazing! literally gets the job done getting rid of dirt in my car. It even has a nice smell to it. It keeps the car from collecting dust all the time.
positive,"Product just as described- a heavy duty bed mat.  Fit & finish very nice for the Tacoma short bed truck.  Totally appreciate the accurate information provided on this product, which answered the important points needed for purchase."
negative,Nice little storage product but don't expect too much for what you pay.  It does the job for me but I'm sure its not the best storage chest out there.
positive,I put a can of this in my 4 ton R410a system that was low on Freon and iced up.  Its been good for a month or so now but I will plan to replace the evaporator coil sometime this winter not to press my luck.  Getting the unit to take in the stuff was not as easy as I expected.  There is not pressure in the can so it seems to rely on some back flow of refrigerant into the can to draw out the leak seal compound.  I guess this is how they make it compatible for systems with different refrigerants..
negative,"My last jumper pack lasted about 7 years, this one lasted 1.5 years and the battery is shot."
positive,"Great looking hat, my husband looks great in this hat. I bought him the Same brad hat in another style and it looks great too. My husband finds hats are normally too big but this one fit perfect. We ordered s/m"
positive,"I love this thing more then I should, and I'll admit it's really because the coin holder portion creates a lil hidden pocket for small items to be stowed away"
positive,Strange concoction. not exactly like other dry wax I've used. It leaves a nice shine and repels nicely. Not a big fan of the smell but it is not bad just not a car smell. Will give it more time to decide.
positive,This is a must have if you own a vehicle with a sealed coolant system.  I had trouble with air pockets in my Mini Cooper before I had this.  It was a pain to bleed the air out of the system.  Now that I have this you just create the vacuum and fill straight from the bottles.  Takes a matter of minutes instead of an hour.  I would happily pay more and this will work for year to come.
positive,Arrived quickly and looks just like our little girl Yorkie !!! Love it so much - got it twice !!!
positive,"sounds great and was easy to install.  Well, the old exhaust was a pain to remove but this new system went in fine.  1996 tahoe 4d."
positive,Fit like a champ on my 2015 Equinox. Installation wasn't too bad. Did it by myself in about 45 minutes and that included installing the wiring harness. Would highly recommend
positive,"what more can I say.  I don't know if they are any cheaper than the dealer,  but Amazon delivers and closest dealer is a 40 mile round trip.  I always buy 3 at a time"
negative,"I bought this to replace the filter on my 2103 Acura TL and I could tell right away the airflow level went down quite a bit.<br />Doing a side by side comparison with a new OEM 80292-SHJ-A41 filter it was really obvious. I'm not sure if that would affect the life of the AC unit in the car but I don't like having to turn up the fan higher just to get the same airflow as before.<br />It's not a bad filter but it's definitely more restrictive than an OEM filter from Honda. And yes, I had the arrow facing the right way."
positive,I wish this product work as well on me when I get up in the morning as it does my truck... my truck can be feeling dead as hell but after a short time this gets my truck back to life.
negative,Plastic is too thick. Easily twice as thick as the factory filter. Distorts the airvo and is unacceptable. I will be returning and buying genuine Subaru air cleaners.
negative,"Gets in the way of the closing mechanism, preventing the power lift gate from closing. I returned this item and purchased another brand that fit better.  This was also more slippery than I had expected."
positive,It a good quality socket. It is definitely worth the money.
positive,Clips and wire connections could be a bit stouter but for the price this is about the best going. They should last a life time if not abused.
positive,"Nice starter. Great power, made a world of difference in my truck."
positive,"No complaints about this battery that I installed on my 2015 Yamaha XT250. The bike starts in a pinch, and the size fits perfectly, no adaptation necessary. It comes with some hardware to connect to the battery cables, but I just used what I already had."
positive,I keep a pair of sunglasses and readers on these. Works well for holding papers and parking slips too
positive,"Because of a mold problem in the house we are currently living in our camper in the front yard, this gets used weekly to empty both the black and the grey tanks and has held up wonderfully over the last 3 months no complaints at all"
negative,"The overall handle quality is excellent, and better than the one it replaced on my A.R.E. truck topper. The lock cylinder is not the best though, as you have to wiggle the key a bit to allow it to work its way past the lock tumblers. My tailgate also has a lock, but it has the type of lock cylinder with the tiny spring-loaded door, like an OEM exterior lock cylinder on any vehicle. This is probably what I should of looked for, but I doubt any T-handle out there has that.<br /><br />I'm going to try some graphite lubricant to try to make the lock cylinder smoother.<br /><br />Overall, I still like the handle, and can deal with the lock cylinder. I would still recommend it."
positive,This is a very nice assortment of clips. I found ones to use on two different places on my 2022 Honda. I was having trouble finding ones that fit but this batch had them. The tool that it comes with is helpful for some things but not for others. I didn't mark it down for that because that was not my reason for buying the kit. You however might find that it is too small and opening for some of the bigger clips on your car.
positive,"Everything included fits exactly correctly. The choice in materials makes cleanup so much easier than ""value"" products that won't come off of the type of plastic used.  If you are even slightly careful when using this, there's no chance you'll drip oil around.<br /><br />There are loads of places they could make small adjustments that would improve this product - but it's already priced around HALF of what you typically have to pay for something that's simply built right, so there's no complaint from me."
positive,"With the current health climate and also prices we decided to change our oil ourselves.  Our vehicle is actually easy that way.  This is the recommend weight of oil for our 2016 Dodge Durango Limited.  Have had no problems while using this oil.  At the time we purchased it, it was the best price around.  No complaints or regrets."
positive,"WOW! Just WOW!<br /><br />Before purchasing these bulbs I was using AuxBeam which I had to constantly replace due to failure in my 2017 Subaru WRX. These Katana Bulbs, on the other hand, put out much more light and have an in-line power converter. I believe this is one of the main reasons for the bulbs stability and lack of flickering like some other brands. The convert seems to give the bulb a consistent 36 volts.<br /><br />Please, do not put these inside a housing meant for standard halogen bulbs. The light behaves differently and blinds oncoming traffic. This is illegal in most states.<br /><br />Pros:<br /> - Value, Great price for a quality product<br /> - Instant-on, no warm-up like HID<br /><br />Cons:<br /> - Finding a place to mount the separate power convert requires more work, but it's worth it"
positive,my son is a USFS wildland firefighter--- and his boots need constant attention so they stay in working shape for every fire and every new season.  Have used this oil for years!  He relies on his boots in the hottest of fires- and they stay suple and soft while doing what they need to do....protect my son!  Its the only oil he uses on his  boots.
positive,"Dumping the sewer on our Fifth wheel is not the most fun, as you might well imagine.  And they aren't all the same size in the different parks we're at.  I saw this on TV on a commercial and came straight to Amazon to find it.  We certainly will be better equipped from here on out.  I also purchased the sewer end caps, which I really like."
negative,"Did absolutely nothing after 4 coats. I called the company and apparently they said I was the only person that ever said it didn't work, which I highly doubt, and refused to help me. Do NOT waste your money or your time on this product"
positive,The key fob that came with my 2017.5 Nissan Murano was impossible to see what the buttons were. I would press the lock for unlock all the time.  With this cover it makes it so easy to see. On a side note with it being such a bright color make it easy to find my keys in my huge purse.
positive,"This is a little small for an ATV.  It would be EXCELLENT for a motorcycle.  I was able to get this on my ATV, but it is stretched super tight.  The plastic hooks were never made to have so much tension on them.  THIS IS MY FAULT.  They would be perfect for a motorcycle."
positive,Have several acrylic shadow boxes that hold family &#34; treasures&#34;.  They gather dust on a daily basis.  Novus polish mates are great for cleaning to prevent pitting and scratching of the acrylic.
positive,Killed the heat on my old 2001 jeep Cherokee! no more miss fires!
positive,Have these on the front of my quad. They are very bright and haven't had an moisture build up inside of them. They have been fully submerged under water many times and still work great! Will definitely order again.
positive,Some store is selling this product so expensive but i find great this bought it from here in Amazon. I definitely recommend people who has back pain or drive most of the time should get one of this. It will massage your back while you are driving.
negative,I do not think this is an original flowmaster. I received it and the welds llooked poorly done. The paint was scratched and chipping off you could see a lot of silver coming thru. You can see  the flowmaster writing on this but I am not sure that they would have shipped something that looks so poorly made. I am skeptical to put this on over the weekend because I do not want to end up buying another if this does not work.
positive,Guess I didn't read before I bought these. They are cool as all get out but they dont just slide in. You have to take your grill cover off and clip them in but it takes some pushing to get them to clip.
positive,"This contains everything you should need to rebuild an already complete Holley 1904 carburetor.  The quality of the parts in the kit is not as nice as the original Holley parts, but this is what we're stuck with present day to service 50+ year old things."
positive,"These are light weight, easy to Stack and lock in to place for storage. Easy to stack when leveling our motorhome (39 feet long). We had to stack 4 high in the front to level the motorhome. We purchased two set of these leveling blocks to do this (4 blocks high on both front tires). These blocks were sturdy with the weight of the motorhome. We felt save using these.  These block are long enough that You can used these on the rear with Dual tires."
positive,I really like the stuff Dorman puts out.  The part itself only took about 30 minutes to install and was very nice quality.  Taking off the door panel takes some time and should be done carefully don't ruin the cover!  The motor is a little louder than stock but not much at all.  Everything looked prefect right out of the box and the hardest part is getting the regulator in the door through the hole but sure enough it will fit.<br /><br />Overall this is a very very very easy thing to replace on your window.  DIY and save a lot of money.
negative,You get what u pay for. Fits but the quality isn’t that great.
positive,The clip could be a little longer.  Keeps falling off the vent.
positive,"I have not ran it as of yet , the inverter box itself is nice , small but according to reviews ( why I selected this ) is like 1300 sales 4 1/2 stars !<br />GOD bless ,<br />Robert"
positive,"This is perfect fit for the back seat of our Nissan Titan. We didn't want to place bags of ice just on the floor of our new truck. Store to home, it's not a ice chest. Holds bags of ice and doesn't leak. We carry our grocery bags also so they don't slide everywhere. We can also use it with a bag placed inside, as a large waste basket for when we travel."
positive,Seems to be working perfectly with my Toyota corolla 2003.  I've had no issues with it so far.
positive,Product works as designed and is pretty sturdy. This is far superior to the cheaper trailer locks I've tried before that have a U shape to them. This is a nice lock
positive,I love this stuff. I have boots and purses that were really drying out. This makes them look new again. I will NEVER be without it.
positive,Smaller than I thought but works great with my Medala breastpump and fast charge phone adapter.
positive,"Looks great, really adds to the appearance of my Ram truck.  Installation was pretty easy, but the directions could have been a little better done.  It is holding up really well, and get a lot of compliments.  I added two LED light pods, the holes are already there and plugged with rubber plugs.  I added their tow hooks and the license plate bracket as well."
positive,"This is so unique and adorable! It came with the scented disc's to insert inside of them. I couldn't really tell what the fragrance was because I didn't open the package due to me already having air fresheners, so that's why I only gave it 3 stars. But regardless of that, I like it mostly for decoration."
positive,"These worked great for my 2005 4Runner. Our other fob broke where it connects to the key ring. This was way cheaper than paying $153 at Toyota to order a new fob. Just pry off the back of your current fob, take out the chip and put the chip into the new fob. It works great."
positive,"First time user.  Heard the scent was strange & wonderful so I had to try it.  Upon opening the package I was immediately hit in the face with the scent which then proceeded to invade literally every corner of the room.  I closed the adjustable vents but still had to take it out to my car because the scent was just too strong at first, even after putting it back in the box, in a drawer in my desk.<br /><br />I will report back after letting this air out a bit in my car, but, initial (strong) scent notes I get are primarily citrus & bubble gum, in that order.  I'm not entirely certain how I feel about it yet, but like I said, I'll report back..<br /><br />Also, for anyone having issues with authenticity; the seller I purchased from was CNS Motors, Inc located in South El Monte, CA.  It was not Prime eligible but shipping was free & quick.  Ordered 10/21, delivered 10/26, (would have been delivered 10/24 but I missed it).  Like another reviewer, I too, do not plan to purchase the separate fancy case for this, as it will just be sitting on the floor under my seat.  Yes the case looks cool, but I'm not ok with the adhesive mounting strips.<br /><br />I mostly look forward to telling passengers what it is when they ask..<br /><br />**UPDATE 10/28/15:  I have decided that unfortunately I do not care for the scent, but I have kept my rating at 4 stars because the performance of this cartridge is truly impressive.  I have frequent migraines & I can tell this scent would be an issue for me.  For those that enjoy a strong, deep, permeating scent, then this is for you.  The cartridge was only in my car a couple days, 1 of them, shut in the glovebox, & even now that I have a new air freshener, I still initially smell Squash when I get in my car.  I had to seal it in a ziplock at home because it was making its way into every corner of my house, just after sitting on the table overnight.  Hopefully I'll find someone that does enjoy this scent, that I can give this to because I really don't want to throw it away.<br /><br />Overall, I still highly recommend for the performance.  I just don't care for the scent, which I now feel is primarily bubble gum (plain BubbleYum to be specific), followed by a sour (not a bad sour) mostly lemon-y citrus.  It is definitely unique."
positive,"I bench tested the charger output across a range of programmable power supply conditions for advertised charge output functionality based on reviews. The charger inserts itself in a feedback loop between the battery and the charger's uP control. The uP firmware reacts with both amp and voltage output and adjusting to a firmware version of an optimized charge.<br /><br />To be clear, there is no solution for answering the most important question, ""How much longer will the battery last?"". It's a great opportunity for someone to patent a device where the battery physicists can't find an answer. As a physicist, my answer is consistently, ""Buy the next battery the same day this one goes out of warranty"". The warranty life is statistically based on the results of design life testing of large sample lots. For any specific battery ... buy a new one the very day it runs out of warranty.<br /><br />The system performs as advertised. The charger becomes a component in a closed-loop feedback cell when attached to the battery. That's a step function improvement over the old-school trickle charger.<br /><br />My use is deep cycle marine batteries. These are different from car batteries. A deep cycle marine battery encounters all sorts of more complex transient and parasitic situations. In the worst case and through a series of unfortunate events, you can dissolve your aluminum boat in the water, pit the prop or sacrifice the season's sacrificial plate overnight.<br /><br />Sophisticated, value for money charging system. Works great with marine batteries. It should work better on your car's battery. The best car battery solution is to buy a new battery on the day the warranty expires.<br /><br />Was my review helpful? If so, click ""Helpful"" so I can know."
positive,My husband bought on a whim but this is a nice kit. The light are magnetic and bright. We keep the kit in our car just in case and hope we never need them but if we do I know they will keep us safe by lightning up our car.
positive,it did not work out but great support; would do it again.
positive,"The rear side reflectors broke on my Vespa LX 150 and these cover the holes, provide the same, if not better, reflection properties and look soooo much better than those stock, clunky chrome 'doorstop' shaped OEM ones."
negative,Don't waste your time with this product very cheap plastic very brittle the clips break every time you try to install this peace.
negative,"Fog lights were not compatible for a 2009 Chrysler 300 even though it says it is. The main grill was compatible, but the two fog light grills were not."
negative,"I’ve had this for about three years and I’ve used it on a lot of batteries. I don’t find it useful because when you enter the CCA rating for the battery, after the tester does the expected checks of voltage and continuity between the cells, it compares the CCA to a number it somehow pulls from the battery. If the number isn’t within an expected range, it tells you to recharge the battery and try again. When you recharge the battery, it usually passes the tests.<br /><br />What it doesn’t pick up is the ability of the battery to hold a charge for any length of time. So I’ve seen batteries pass the tests and fail to start a car a day later because they can’t hold a charge.  If this device were actually capable of doing a test under load, it would detect this fault in the battery.  But it can’t. It only detects obvious faults like low voltage, which you could see with a volt meter, or disconnects between cells, which again you could see with a volt meter.<br /><br />It has the ability to read alternator output.  I don’t know if it accurately does this since the alternators I’ve tested with it all seemed to work well. The tester just confirmed this. I haven’t tested a bad alternator."
positive,"I use this to secure 2 large totes on the 6' bed of my off road truck.  Took a minute to figure out the straps but once I got it right it works great.  Keeps totes from bouncing around, quick and easy to access.  2 years of abuse and still look as new."
positive,Break one every time i go to the dunes with my paddle tire..
negative,THIS DOES NOT FIT THE 2007 HONDA CIVIC SI!!! DO NOT BUY THIS IF YOU ARE NEEDING FOR THIS CAR!!! THERE IS NO WAY IT IS CUT FOR THIS WINDSHEILD! IT IS WAY TO BIG AROUNF THE MIRROR THEN WAY TO SHORT TO COVER THE ENTIRE WINDSHIELD AND IS JUST THIN FLIMSY CRAP! I CANNOT BELIEVE I WASTED MY TIME WITH THIS! COVER CRAFT SELLS THE REAL CUSTOM FIT LASER CUT SUNSHADE FOR THIS CAR ON THEIR SITE! ITS $70 BUT WORTH IT IF ITS GONNA FIT AND PROTECT AS IT SHOULD!! JUST BUY THE.M COVER CRAFT AND SAVE SOME TIME AND MONEY!! THEY EVEN OFFER DIFFERENT COLORS!
positive,Even though it said it wouldn’t fit Maserati levante it did fit and was easy to install for me a female. Closest color I could find to match my dark red interior. Feels comfortable and looks good great buy!
negative,Took several applications to see any improvement. I read the reviews before purchasing. The Positive reviews never stated how often they had to apply to get the film off of the light cover
positive,The female electrical socket was not a perfect match for my 2007 suburban. The male connector still pushed in and worked but doesnt lock. Its just tight. I check it from time to time and its still in. Of course a trouble code would come on if it wiggled out from off roading.
positive,It came packaged well and it looks new. Glad I got it because it saved almost 200 from the dealership.
negative,"Feels thick and sturdy, but came rusty in the inside? Hoping it holds up over time without breaking in the middle from the rust."
positive,"I practically live in a vehicle.  I not only take my dog on mini road trips, I also drive a bus and a minivan for a senior living center.  I can barely eat without a steering wheel in front of me, so this tray is fantastic.  I can spread out my lunch without trying to balance it on the center console and have to eat sitting side saddle.  I also have to wait for my passengers sometimes and now I have a great way of playing on my phone or tablet or doing minor paperwork.  This is a great product which is strong and should hold up for many, many years.  It fits beautifully on my Chevy Silverado truck, but is a bit iffy on my Fiat’s steering wheel.  The steering wheels on the company Dodge Minivan and our Chevy Converted handicapped equipped bus are also able to hold this tray.  Three out of four isn’t bad."
positive,10 stars if I could. I poped this in my 2014 1.8t passat and instant improvement over the paper filter I can feel the difference between this filter and the stock filter. It revs faster has a throater sound and it now spins tire between 30 and 50 if I mat the gas. I can't blow through the old new filter easy but this I can blow through with ease. My milage also is averaging 42 to 46 from 35-37. I've seen minor. Improvements using these on various cars like my old mustang and my 02 passat but this is the most drastic improvement on any car I have used a k&n on
positive,Easy fix to do. After watching a you tube video on how to do it I had the part swapped out in about 5 minutes. Looks and works like the original.
negative,I bought the. Healer brand before and it seemed to work better. I did not notice anything with this.
positive,Fit great comes with Everything you need installed on a 2022 Nissan frontier pro 4X
positive,"Exactly what I needed. Worked perfect, saved me a lot of money. Arrived on time, in perfect condition."
positive,It’s the second type of cellphone holder. It’s all made of silicone so it’s soft enough to not break down as the bike running across bumps and rough roads. So far so good.
positive,"Well made hitch, had it installed by a company that sells and installs hitches, was not easy to put on. Installer actually said it was best to just remove the bumper of which he did but said it was a very tight fit, required a few blows with a rubber hammer!"
positive,I like them. They look very good. Seems like decent quality..Just put them on a week ago..Lets see how stand up to the Florida sun and salt air.
positive,"Fits well on my 2003 Honda Shadow 750 Ace Deluxe. Pretty well made. Seems very sturdy. Like someone else commented, back pad has thin wood inside to mount 2 screws to. Hopefully, they will stay secure or I may have to figure out another mounting option. Not like it really needs instructions to put together, but there wasn't any in the pkg. Overall, a superb deal for the money."
positive,"I replaced my my downstream o2s on my 14 mustang and they work flawlessly , they are great quality and look almost better than the motorcraft, i hope they last some time"
positive,"This turbo is a K03 turbo but it’s a good one. I drove about 100 miles with this turbo and I can honestly say that this turbo maybe better than stock. I have a diverter valve and turbo muffler delete with a stage 2 tune and the turbo sounds good. You can really hear the turbo spool and it sounds better than stock. The serial numbers on the turbo matches a K03 turbo. I posted pictures of the numbers so you can do your research. I received the package in one day and all the parts are included. Was really hoping that this was a K04 turbo, but this turbo is not bad."
positive,its a tight fit and took a little work to get it onto the steering wheel but it should last a long time
positive,"I bought this cover hoping it would be big enough to cover my Triumph Thunderbird. I brought it primarily to keep my bike free from airborne dirt, dust, pollen, etc..  In addition to the basic large size of my motorcycle, I have a full size windshield, a sissy bar back rest w/attached passenger arm rests, a rider back rest, a luggage rack, jumbo saddlebags and two flags mounted on the sissy bar. This cover fits over the whole bike with all the accessories with room to spare... no stretching or excessive tautness anywhere. The only thing you can see is the bottoms of the tires/wheels. There is plenty of extra material to allow me to use the security straps thru the wheels to keep it in place. I also use a heavy Kryptonite chain to fasten it to a fence post... the chain fits thru passthru grommet holes, no problem. I can't say much about the water resistance since I keep my bike under a carport (so no direct rain), but it looks like it should do the trick. I also can't speak to the durability as I've only been using it for a couple months, but it's still looking good (for what that's worth). So far I'm really quite pleased with this cover since it fits without a problem... Recommended if you have a BIG bike to protect."
positive,Sticky tranny on my Odyssey.<br />It fixed the problem. As good as OEM
positive,"Soft material, hold suds well. Mothers makes very good products imo"
negative,"Super easy to put on, looks fine, but the reception is terrible not even worth trying to listen to the radio. If you want it just for aesthetics it would be perfect"
positive,Fits our old P500 5 gallon gas cans to enable using  the new EZ Pour spouts.  Thank you!
positive,Looked for largest car cover and this seemed to be it.  Fits new Lincoln very well but extremely snug for 55 Dodge sedan
positive,Can't go wrong. It really fills up fast. Easy to use. Cheap. I recommend
positive,Purchasing a genuine Volvo replacement lens for a cracked lens on a 1998 Volvo is a very expensive proposition. This very inexpensive alternative fits perfectly and works perfectly.
positive,The purple is good but this is the best ... I've completed my Quest
positive,I finally tried this out a couple weeks ago and was happy to have a no spill event. I used it on gas but will try diesel soon.
positive,"We installed this on a post near our hot tub steps, works great to use when getting in and out"
positive,"I bought this rear brake hose for a old beater project that is a collection of car parts. 1927-1928 Star M frame, 1946 chevy truck front end, 1970 maverick 170 cu in motor with three speed manual transmission, and a 1967 mustang rear end 7 inch 4 lug...this rear brake hose looks just like the cut one i pulled off the rear end except that the old one was brass and this one was some kind of silver colored metal..steel? it fits just like the old one and the 1946 chevy brake lines fit the foward facing end of the hose. 1/4 inch fitting on that end and 3/16 on the two ends going to the wheels.  the brakes feel good."
positive,"Reuse the original clips because the new ones are thin and will twist.  Futment isn't perfect but unnoticeable once installed.  Been a few cold weeks and no condensation inside, but no rain yet either though.  Time will test it.<br /><br />These lights switch the signal and reverse bulbs so the wiring will be tight, but it will still reach.  The lense cover is light (red version) so you can see straight into the bulbs and even the reflectors.  The bad:  looks cheap.  The good:  bright and noticeable when the bulbs are on."
positive,I like a heavier gear oil in my harley. Works great
